,Total Gap,Fraction Electric Spending,Total Households,Households Poverty <2.5,Avg Total Energy Cost,Fraction Owners,Median Cost Burden,Median Cost Burden Poverty<2.5,Utility Number,Utility Name
100.0,402867.0,0.8192543468438606,4853.0,1998.0,1571.120361328125,0.6651555738718319,2.430000066757202,4.690000057220459,1723.0,"Big Bend Electric Coop, Inc"
101.0,12083704.0,0.7649520427721918,56492.0,19793.0,2205.57763671875,0.7350421298590951,3.309999942779541,7.78000020980835,1738.0,Bonneville Power Administration
102.0,12083704.0,0.7649520427721918,56492.0,19793.0,2205.57763671875,0.7350421298590951,3.309999942779541,7.78000020980835,1738.0,Bonneville Power Administration
103.0,9513341.0,0.9107851839059797,24703.0,11685.0,2268.151611328125,0.6656681374731814,4.670000076293945,9.65999984741211,1763.0,"Black River Electric Coop, Inc - (SC)"
104.0,1183776.0,0.8115271292833496,2899.0,1313.0,2352.43408203125,0.7299068644360124,4.650000095367432,9.84000015258789,1764.0,Black Diamond Power Co
105.0,1657037.0,0.7073109286541869,8968.0,2449.0,2240.89794921875,0.7585860838537021,3.069999933242798,7.71999979019165,1769.0,"Black Hills Electric Coop, Inc"
106.0,5317306.0,0.7557861651730099,17396.0,8291.0,2182.34619140625,0.7878822717866176,4.25,8.220000267028809,1775.0,Black River Electric Coop - (MO)
107.0,408676.0,0.6631509994862347,2063.0,923.0,1707.4755859375,0.5976732913233156,3.4100000858306885,7.710000038146973,1776.0,City of Black River Falls
108.0,7691085.0,0.8387699595535807,17110.0,9420.0,2177.04736328125,0.7552893045002922,5.5,10.119999885559082,1780.0,Black Warrior Elec Member Corp
109.0,1638787.0,0.7128993394881121,1692.0,366.0,5043.90673828125,0.7689125295508275,5.444999694824219,18.729999542236328,1857.0,Block Island Utility District
110.0,4151149.0,0.58629271635334,13325.0,3722.0,2907.987060546875,0.8344465290806754,3.9100000858306885,9.239999771118164,1884.0,BENCO Electric Cooperative
111.0,13337099.0,0.8200811035515798,61583.0,21618.0,2232.73046875,0.7366156244418103,3.3499999046325684,7.650000095367432,1886.0,Blue Grass Energy Coop Corp
112.0,17050480.0,0.7683471994352492,52779.0,24065.0,2263.844970703125,0.7364103147085015,4.429999828338623,8.539999961853027,1889.0,Blue Ridge Elec Member Corp - (NC)
113.0,19906106.0,0.866907866609024,53271.0,21146.0,2635.15283203125,0.7558709241425916,4.380000114440918,9.569999694824219,1890.0,Blue Ridge Electric Coop Inc - (SC)
114.0,11906551.0,0.6778278430636576,29319.0,12126.0,2518.17919921875,0.8099866980456359,4.690000057220459,10.114999771118164,1891.0,Blue Ridge Mountain EMC - (GA)
115.0,11906551.0,0.6778278430636576,29319.0,12126.0,2518.17919921875,0.8099866980456359,4.690000057220459,10.114999771118164,1891.0,Blue Ridge Mountain EMC - (GA)
116.0,19858544.0,0.8363453772063952,196099.0,50825.0,1844.67724609375,0.6065762701492613,2.200000047683716,6.199999809265137,1892.0,"Bluebonnet Electric Coop, Inc"
117.0,334699.0,0.6085360169360796,3180.0,1009.0,1600.24560546875,0.690251572327044,2.4700000286102295,6.460000038146973,1896.0,City of Bluffton - (IN)
118.0,4337149.0,0.8639570450132493,6135.0,3229.0,2964.654541015625,0.6854115729421353,6.71999979019165,11.260000228881836,1936.0,Bolivar Energy Authority
120.0,6260563.0,0.7658952141945278,29780.0,10099.0,2228.343017578125,0.580859637340497,3.450000047683716,8.130000114440918,2001.0,Boone Electric Coop
121.0,263135.0,0.8586252310377194,2549.0,908.0,1767.8056640625,0.5747351902706944,2.75,5.71999979019165,2008.0,City of Boulder City - (NV)
